topic,word,score,rank
1,method,901.0103780916367,1
1,image,880.3579409447104,2
1,model,669.0951159870915,3
1,feature,586.6840515096951,4
1,data,427.9707409910148,5
1,datasets,404.3995120821868,6
1,performance,384.47750469595735,7
1,learning,381.1506092439402,8
1,propose,380.9412317748625,9
1,dataset,368.14258438821616,10
1,result,353.7922345675751,11
1,task,352.77801215857926,12
1,domain,347.83799121012765,13
1,detection,341.5791999389801,14
1,proposed,340.1906616479141,15
1,training,333.39008766802453,16
1,approach,333.01455638698843,17
1,network,318.83517608338593,18
1,information,292.7179560325637,19
1,stateoftheart,286.34665877303263,20
2,network,990.7263597654006,1
2,neural,652.1959195195994,2
2,model,342.43894560705354,3
2,training,325.49489409371955,4
2,time,275.7915195978818,5
2,deep,244.25799562160063,6
2,function,232.76099494030723,7
2,parameter,212.68040733577584,8
2,layer,205.69178451996544,9
2,method,202.47643811700365,10
2,architecture,186.421336876899,11
2,accuracy,166.14579006623902,12
2,result,164.35191880118526,13
2,using,150.76347770744624,14
2,learning,149.1158998125528,15
2,memory,148.84260474306168,16
2,series,136.47464979457507,17
2,data,133.14503492005903,18
2,input,131.38503771764348,19
2,gradient,131.35416156889553,20
3,algorithm,770.689230240327,1
3,learning,760.7304737812501,2
3,problem,625.2341222372631,3
3,method,466.2053419327602,4
3,graph,394.4805368868579,5
3,performance,321.6272950206928,6
3,function,277.78779449034516,7
3,optimization,274.79470062174886,8
3,approach,269.94086099665816,9
3,task,244.21908650698177,10
3,model,227.31762733565233,11
3,proposed,211.09096319402386,12
3,result,207.36285688337242,13
3,propose,206.03970804967634,14
3,paper,203.04118749455955,15
3,agent,196.03512685164645,16
3,data,185.0129394736879,17
3,based,184.26269363042255,18
3,policy,181.30480287097518,19
3,experiment,171.4619811095907,20
4,model,1018.2985937777141,1
4,data,719.182110848718,2
4,learning,318.403240194019,3
4,approach,288.9826257938697,4
4,method,260.46486559468406,5
4,distribution,238.71181807097074,6
4,process,229.24226341150813,7
4,machine,222.8919763214833,8
4,using,213.2276786602154,9
4,prediction,205.1734714272012,10
4,paper,197.76077776500964,11
4,inference,184.2942652544704,12
4,algorithm,168.70301643240123,13
4,based,167.92131207459428,14
4,regression,159.28049416616935,15
4,application,158.20067502147975,16
4,used,158.09608015645932,17
4,variable,143.20343109223305,18
4,analysis,137.74551199618332,19
4,study,130.70076177818444,20
5,model,932.528362138592,1
5,language,729.8846454226442,2
5,task,544.3548247007085,3
5,llm,247.01113961318987,4
5,text,215.38898741580826,5
5,word,203.81568162297236,6
5,human,199.63756521770665,7
5,representation,197.9963609297105,8
5,knowledge,193.6751656145,9
5,paper,191.52962999936776,10
5,approach,180.05925543546715,11
5,information,175.02421375217406,12
5,sentence,167.20421068240844,13
5,different,164.7506252931452,14
5,question,158.39439813600762,15
5,natural,150.18031351914692,16
5,speech,143.95698407697265,17
5,work,141.89362315759317,18
5,translation,137.31445177798565,19
5,data,136.56194674943578,20
